algo	FS	ONTO	hier1	hier2	p-value	hier1-hier2
adaboost	FS	BP	flat	TPR-TF	0.0	-0.03598033254765129
adaboost	FS	BP	flat	ISO-TPR-TF	0.0	-0.05147268283855421
adaboost	FS	BP	flat	GPAV	0.0	-0.042457410238664124
adaboost	FS	BP	flat	HTD	0.0	0.10362524727868659
adaboost	FS	BP	TPR-TF	ISO-TPR-TF	0.0	-0.01549235029090296
adaboost	FS	BP	TPR-TF	GPAV	0.0	-0.006477077691012912
adaboost	FS	BP	TPR-TF	HTD	0.0	0.13960557982633828
adaboost	FS	BP	ISO-TPR-TF	GPAV	0.0	0.009015272599890078
adaboost	FS	BP	ISO-TPR-TF	HTD	0.0	0.15509793011724116
adaboost	FS	BP	GPAV	HTD	0.0	0.14608265751735072
C5.0	FS	BP	flat	TPR-TF	0.0	-0.12082822945758566
C5.0	FS	BP	flat	ISO-TPR-TF	0.0	-0.08947182550908726
C5.0	FS	BP	flat	GPAV	0.0	-0.12278940127908032
C5.0	FS	BP	flat	HTD	3e-05	-0.005531664388686756
C5.0	FS	BP	TPR-TF	ISO-TPR-TF	0.0	0.03135640394849811
C5.0	FS	BP	TPR-TF	HTD	0.0	0.11529656506889875
C5.0	FS	BP	ISO-TPR-TF	GPAV	0.0	-0.03331757576999312
C5.0	FS	BP	ISO-TPR-TF	HTD	0.0	0.08394016112040048
C5.0	FS	BP	GPAV	HTD	0.0	0.11725773689039358
glmnet	FS	BP	flat	ISO-TPR-TF	0.0	-0.008547794539654197
glmnet	FS	BP	flat	GPAV	0.0	-0.010439482208105278
glmnet	FS	BP	TPR-TF	ISO-TPR-TF	0.0	-0.004382541404411774
glmnet	FS	BP	TPR-TF	GPAV	0.0	-0.00627422907286285
glmnet	FS	BP	TPR-TF	HTD	0.0	-0.00622360334327549
kknn	FS	BP	flat	TPR-TF	0.0	-0.03125736310651766
kknn	FS	BP	flat	ISO-TPR-TF	0.0	-0.031355453891546
kknn	FS	BP	flat	GPAV	0.0	-0.03142211465321434
kknn	FS	BP	flat	HTD	0.0	0.0776513660258011
kknn	FS	BP	TPR-TF	ISO-TPR-TF	0.0	-9.809078502833223e-05
kknn	FS	BP	TPR-TF	HTD	0.0	0.10890872913231897
kknn	FS	BP	ISO-TPR-TF	GPAV	0.0	-6.66607616683207e-05
kknn	FS	BP	ISO-TPR-TF	HTD	0.0	0.10900681991734706
kknn	FS	BP	GPAV	HTD	0.0	0.10907348067901539
lda	FS	BP	flat	TPR-TF	0.0	-0.0116908233488727
lda	FS	BP	flat	ISO-TPR-TF	0.0	-0.011890991417933164
lda	FS	BP	flat	GPAV	0.0	-0.011748657859851326
lda	FS	BP	TPR-TF	ISO-TPR-TF	0.0	-0.0002001680690604638
lda	FS	BP	TPR-TF	GPAV	0.0	-5.783451097863079e-05
lda	FS	BP	TPR-TF	HTD	0.0	0.013830546690198703
lda	FS	BP	ISO-TPR-TF	HTD	0.0	0.014030714759259202
lda	FS	BP	GPAV	HTD	0.0	0.013888381201177316
LogitBoost	FS	BP	flat	TPR-TF	0.0	-0.05113809924361409
LogitBoost	FS	BP	flat	ISO-TPR-TF	0.0	-0.05385234281039168
LogitBoost	FS	BP	flat	GPAV	0.0	-0.05286345096510043
LogitBoost	FS	BP	flat	HTD	0.0	0.05099014799577464
LogitBoost	FS	BP	TPR-TF	ISO-TPR-TF	0.0	-0.0027142435667776195
LogitBoost	FS	BP	TPR-TF	GPAV	0.0	-0.0017253517214863984
LogitBoost	FS	BP	TPR-TF	HTD	0.0	0.10212824723938868
LogitBoost	FS	BP	ISO-TPR-TF	GPAV	0.0	0.0009888918452912146
LogitBoost	FS	BP	ISO-TPR-TF	HTD	0.0	0.1048424908061664
LogitBoost	FS	BP	GPAV	HTD	0.0	0.1038535989608753
mlp	FS	BP	flat	TPR-TF	0.0	-0.044678432837982916
mlp	FS	BP	flat	ISO-TPR-TF	0.0	-0.04225480154220064
mlp	FS	BP	flat	GPAV	0.0	-0.046695294179346016
mlp	FS	BP	flat	HTD	0.0	0.060585332924004504
mlp	FS	BP	TPR-TF	ISO-TPR-TF	0.0001	0.002423631295782318
mlp	FS	BP	TPR-TF	HTD	0.0	0.10526376576198743
mlp	FS	BP	ISO-TPR-TF	GPAV	0.0	-0.0044404926371453945
mlp	FS	BP	ISO-TPR-TF	HTD	0.0	0.1028401344662051
mlp	FS	BP	GPAV	HTD	0.0	0.10728062710335053
naive_bayes	FS	BP	flat	TPR-TF	0.0	-0.012159961559518368
naive_bayes	FS	BP	flat	ISO-TPR-TF	0.0	-0.01372726086735118
naive_bayes	FS	BP	flat	GPAV	0.0	-0.013955518575071716
naive_bayes	FS	BP	TPR-TF	ISO-TPR-TF	0.0	-0.0015672993078328136
naive_bayes	FS	BP	TPR-TF	GPAV	0.0	-0.001795557015553359
naive_bayes	FS	BP	TPR-TF	HTD	0.0	0.014472633418230744
naive_bayes	FS	BP	ISO-TPR-TF	GPAV	0.0	-0.00022825770772054565
naive_bayes	FS	BP	ISO-TPR-TF	HTD	0.0	0.01603993272606352
naive_bayes	FS	BP	GPAV	HTD	0.0	0.01626819043378409
ranger	FS	BP	flat	TPR-TF	0.0	-0.022360680275198407
