algo	FS	ONTO	hier1	hier2	p-value	hier1-hier2
adaboost	FS	BP	flat	TPR-TF	0.0	-0.0212994394526275
adaboost	FS	BP	flat	ISO-TPR-TF	0.0	-0.05113461935943228
adaboost	FS	BP	flat	GPAV	0.0	-0.04560507782196517
adaboost	FS	BP	flat	HTD	0.0	0.0540121999862705
adaboost	FS	BP	TPR-TF	ISO-TPR-TF	0.0	-0.02983517990680483
adaboost	FS	BP	TPR-TF	GPAV	0.0	-0.024305638369337735
adaboost	FS	BP	TPR-TF	HTD	0.0	0.07531163943889796
adaboost	FS	BP	ISO-TPR-TF	GPAV	0.0	0.005529541537467077
adaboost	FS	BP	ISO-TPR-TF	HTD	0.0	0.1051468193457028
adaboost	FS	BP	GPAV	HTD	0.0	0.09961727780823562
C5.0	FS	BP	flat	TPR-TF	0.0	-0.04270561110804932
C5.0	FS	BP	flat	ISO-TPR-TF	0.0	-0.02804380510896819
C5.0	FS	BP	flat	GPAV	0.0	-0.0355697920625674
C5.0	FS	BP	TPR-TF	ISO-TPR-TF	0.0	0.014661805999081222
C5.0	FS	BP	TPR-TF	GPAV	0.00012	0.007135819045482
C5.0	FS	BP	TPR-TF	HTD	0.0	0.03196963844497073
C5.0	FS	BP	ISO-TPR-TF	GPAV	0.0	-0.007525986953599195
C5.0	FS	BP	ISO-TPR-TF	HTD	0.0	0.01730783244588954
C5.0	FS	BP	GPAV	HTD	0.0	0.024833819399488803
glmnet	FS	BP	flat	TPR-TF	0.0	-0.005602313913855105
glmnet	FS	BP	flat	ISO-TPR-TF	0.0	-0.002081019810876584
glmnet	FS	BP	flat	GPAV	0.0	-0.002513661387425659
glmnet	FS	BP	flat	HTD	0.0	-0.003340389814816768
glmnet	FS	BP	TPR-TF	HTD	0.00926	0.0022619240990383285
glmnet	FS	BP	ISO-TPR-TF	GPAV	0.00912	-0.0004326415765490726
kknn	FS	BP	flat	TPR-TF	0.0	-0.040218386649473865
kknn	FS	BP	flat	ISO-TPR-TF	0.0	-0.03863525459729803
kknn	FS	BP	flat	GPAV	0.0	-0.042658593770631956
kknn	FS	BP	flat	HTD	0.0	0.04164238126421895
kknn	FS	BP	TPR-TF	ISO-TPR-TF	0.00189	0.0015831320521758653
kknn	FS	BP	TPR-TF	GPAV	0.0002	-0.002440207121158058
kknn	FS	BP	TPR-TF	HTD	0.0	0.08186076791369266
kknn	FS	BP	ISO-TPR-TF	GPAV	0.0	-0.004023339173333919
kknn	FS	BP	ISO-TPR-TF	HTD	0.0	0.08027763586151697
kknn	FS	BP	GPAV	HTD	0.0	0.08430097503485086
lda	FS	BP	flat	TPR-TF	0.0	-0.03225446262462249
lda	FS	BP	flat	ISO-TPR-TF	0.0	-0.03446031453914092
lda	FS	BP	flat	GPAV	0.0	-0.033640792163950335
lda	FS	BP	flat	HTD	0.0	-0.030798303660322685
lda	FS	BP	TPR-TF	ISO-TPR-TF	2e-05	-0.002205851914518424
lda	FS	BP	TPR-TF	HTD	0.0	0.0014561589642998495
lda	FS	BP	ISO-TPR-TF	HTD	0.0	0.0036620108788182784
lda	FS	BP	GPAV	HTD	0.0	0.002842488503627629
LogitBoost	FS	BP	flat	TPR-TF	0.0	-0.03579640723321798
LogitBoost	FS	BP	flat	ISO-TPR-TF	0.0	-0.04407471651379622
LogitBoost	FS	BP	flat	GPAV	0.0	-0.04129112769680039
LogitBoost	FS	BP	flat	HTD	0.0	0.01761516944787691
LogitBoost	FS	BP	TPR-TF	ISO-TPR-TF	0.0	-0.008278309280578164
LogitBoost	FS	BP	TPR-TF	GPAV	0.0	-0.005494720463582374
LogitBoost	FS	BP	TPR-TF	HTD	0.0	0.05341157668109485
LogitBoost	FS	BP	ISO-TPR-TF	GPAV	0.0	0.0027835888169958005
LogitBoost	FS	BP	ISO-TPR-TF	HTD	0.0	0.06168988596167301
LogitBoost	FS	BP	GPAV	HTD	0.0	0.058906297144677294
mlp	FS	BP	flat	TPR-TF	0.0	-0.004997709040555155
mlp	FS	BP	flat	ISO-TPR-TF	0.0	-0.02380836716006012
mlp	FS	BP	flat	GPAV	0.0	-0.02371134936822308
mlp	FS	BP	flat	HTD	0.0	0.05819849900092221
mlp	FS	BP	TPR-TF	ISO-TPR-TF	0.0	-0.018810658119504952
mlp	FS	BP	TPR-TF	GPAV	0.0	-0.01871364032766793
mlp	FS	BP	TPR-TF	HTD	0.0	0.06319620804147738
